id_ticket,status_ticket,prioridade,origem_ticket,topico,analista_responsavel,data_abertura,sla_previsto_resolucao,tempo_primeira_resposta,tempo_resolucao,data_fechamento,tempo_resolucao_horas
1088,Closed,Low,Chat,Purchasing and invoicing,Nicola Wane,2023-01-11 11:24:14,2023-01-12 11:24:14,2023-01-11 11:25:37.140,2023-01-11 20:49:43.338,2023-01-13 04:59:59.615,41.59600416666667
1090,Resolved,Low,Chat,Feature request,Bernard Beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:50:15.651,2023-01-11 14:39:13.211,,
1092,Resolved,Medium,Chat,Pricing and licensing,Bernard Beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:31:53.202,2023-01-12 12:24:20.970,,
1093,Resolved,Low,Email,Product setup,Sheela Cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:12:45.316,2023-01-12 00:00:02.086,,
1094,Resolved,Low,Chat,Purchasing and invoicing,Connor Danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:05:35.487,2023-01-11 19:03:32.390,,
1095,Closed,Low,Chat,Feature request,Kristos Westoll,2023-01-11 13:40:47,2023-01-12 13:40:47,2023-01-11 13:43:27.490,2023-01-16 11:43:28.653,2023-01-18 10:44:41.595,165.06516527777777
1097,Closed,Low,Email,Product setup,Bernard Beckley,2023-01-11 05:29:41,2023-01-13 05:29:41,2023-01-11 06:04:13.834,2023-01-11 17:24:42.166,2023-01-16 15:48:07.957,130.30748805555555
1098,In progress,Medium,Chat,Other,Bernard Beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:19:18.598,,,
1100,Resolved,Medium,Email,Feature request,Heather Urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 22:47:08.587,2023-01-13 13:58:22.732,,
1101,Resolved,High,Chat,Bug report,Sheela Cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:00:36.375,2023-01-14 02:58:00.277,,
1102,Resolved,Low,Chat,Other,Michele Whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:17:30.575,2023-01-13 21:16:38.693,,
1103,Resolved,Medium,Chat,Pricing and licensing,Sheela Cutten,2023-01-13 12:58:56,2023-01-14 12:58:56,2023-01-13 12:59:39.585,2023-01-13 13:19:55.416,,
1104,Closed,Low,Email,Feature request,Connor Danielovitch,2023-01-13 13:30:46,2023-01-15 13:30:46,2023-01-13 13:37:07.145,2023-01-15 09:50:56.668,2023-01-18 02:50:09.567,109.32321305555556
1105,Closed,Low,Chat,Feature request,Kristos Westoll,2023-01-13 06:47:37,2023-01-14 06:47:37,2023-01-13 06:49:35.630,2023-01-13 09:11:25.357,2023-01-15 14:41:08.910,55.89219722222222
1106,In progress,Low,Chat,Other,Connor Danielovitch,2023-01-13 23:18:45,2023-01-14 23:18:45,2023-01-13 23:20:43.777,,,
1107,Closed,Low,Email,Bug report,Michele Whyatt,2023-01-13 11:19:44,2023-01-15 11:19:44,2023-01-13 11:34:07.762,2023-01-15 08:05:24.543,2023-01-15 11:12:25.378,47.87816055555555
1108,Closed,Low,Email,Purchasing and invoicing,Bernard Beckley,2023-01-13 02:10:18,2023-01-15 02:10:18,2023-01-13 03:28:05.346,2023-01-14 05:07:24.366,2023-01-16 18:08:35.263,87.97146194444444
1109,Closed,High,Chat,Product setup,Nicola Wane,2023-01-13 13:38:30,2023-01-14 13:38:30,2023-01-13 13:38:53.827,2023-01-13 15:29:46.710,2023-01-17 06:36:45.502,88.97097277777777
1110,Closed,High,Email,Product setup,Adolpho Messingham,2023-01-13 21:32:08,2023-01-15 21:32:08,2023-01-13 22:27:03.346,2023-01-15 14:06:02.184,2023-01-19 05:07:27.605,127.58877916666665
1111,In progress,Low,Chat,Product setup,Sheela Cutten,2023-01-13 02:49:26,2023-01-14 02:49:26,2023-01-13 02:52:27.993,,,
1112,In progress,Low,Phone,Pricing and licensing,Bernard Beckley,2023-01-13 02:22:58,2023-01-15 02:22:58,2023-01-13 02:23:44.111,,,
1113,Resolved,Low,Chat,Product setup,Bernard Beckley,2023-01-13 01:46:37,2023-01-14 01:46:37,2023-01-13 01:46:51.422,2023-01-17 07:29:51.862,,
1114,Closed,Medium,Email,Product setup,Connor Danielovitch,2023-01-13 07:20:20,2023-01-15 07:20:20,2023-01-13 08:01:51.843,2023-01-15 06:43:44.003,2023-01-21 00:17:21.652,184.9504588888889
1115,Resolved,Low,Chat,Pricing and licensing,Sheela Cutten,2023-01-13 23:22:08,2023-01-14 23:22:08,2023-01-13 23:22:16.070,2023-01-14 05:14:59.328,,
1116,Resolved,Medium,Phone,Pricing and licensing,Nicola Wane,2023-01-14 22:53:23,2023-01-16 22:53:23,2023-01-14 22:54:39.449,2023-01-16 03:46:00.748,,
1126,Closed,Medium,Phone,Pricing and licensing,Kristos Westoll,2023-01-15 13:10:36,2023-01-17 13:10:36,2023-01-15 13:11:21.853,2023-01-19 09:22:43.893,2023-01-20 04:15:17.640,111.07823333333334
1127,Resolved,High,Email,Product setup,Bernard Beckley,2023-01-15 06:08:54,2023-01-17 06:08:54,2023-01-15 06:47:30.075,2023-01-15 07:23:23.466,,
1128,Closed,Low,Email,Other,Bernard Beckley,2023-01-15 10:11:34,2023-01-17 10:11:34,2023-01-15 11:03:47.800,2023-01-17 07:11:51.202,2023-01-18 23:31:09.366,85.32649055555555
1129,Closed,High,Phone,Pricing and licensing,Kristos Westoll,2023-01-15 02:01:36,2023-01-17 02:01:36,2023-01-15 02:02:21.163,2023-01-16 14:49:44.737,2023-01-18 16:30:05.795,86.47494305555556
1130,In progress,Medium,Chat,Product setup,Connor Danielovitch,2023-01-16 05:12:59,2023-01-17 05:12:59,2023-01-16 05:14:35.188,,,
1131,Closed,Low,Email,Product setup,Sheela Cutten,2023-01-16 20:38:34,2023-01-18 20:38:34,2023-01-16 21:35:38.891,2023-01-16 22:40:38.689,2023-01-20 05:35:10.396,80.94344333333333
1132,Closed,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-16 15:44:20,2023-01-18 15:44:20,2023-01-16 16:39:29.422,2023-01-17 12:05:13.440,2023-01-22 20:45:33.952,149.02054222222225
1133,Resolved,High,Chat,Product setup,Bernard Beckley,2023-01-16 19:19:41,2023-01-17 19:19:41,2023-01-16 19:19:48.613,2023-01-17 12:08:15.116,,
1134,Closed,Low,Chat,Product setup,Sheela Cutten,2023-01-16 12:50:35,2023-01-17 12:50:35,2023-01-16 12:51:00.245,2023-01-16 17:37:43.459,2023-01-20 18:38:43.224,101.80228444444444
1135,Resolved,Low,Phone,Bug report,Adolpho Messingham,2023-01-16 14:37:40,2023-01-18 14:37:40,2023-01-16 14:40:46.740,2023-01-16 19:04:13.525,,
1136,Resolved,Low,Email,Bug report,Sheela Cutten,2023-01-16 15:35:28,2023-01-18 15:35:28,2023-01-16 16:08:01.741,2023-01-17 11:41:21.821,,
1137,Resolved,Low,Email,Feature request,Kristos Westoll,2023-01-16 07:57:01,2023-01-18 07:57:01,2023-01-16 08:11:48.199,2023-01-18 02:08:31.725,,
1138,Resolved,Low,Email,Product setup,Heather Urry,2023-01-17 01:30:29,2023-01-19 01:30:29,2023-01-17 08:53:20.063,2023-01-18 08:04:50.081,,
1139,Closed,Low,Chat,Feature request,Nicola Wane,2023-01-17 11:23:12,2023-01-18 11:23:12,2023-01-17 11:27:11.195,2023-01-17 23:26:57.206,2023-01-18 21:05:43.681,33.708800277777776
1140,Resolved,Low,Chat,Purchasing and invoicing,Connor Danielovitch,2023-01-17 14:03:25,2023-01-18 14:03:25,2023-01-17 14:03:47.237,2023-01-23 08:16:16.959,,
1141,Resolved,Low,Chat,Other,Nicola Wane,2023-01-17 00:04:06,2023-01-18 00:04:06,2023-01-17 00:04:29.168,2023-01-18 05:24:11.228,,
1142,Closed,Low,Email,Pricing and licensing,Nicola Wane,2023-01-17 16:42:23,2023-01-19 16:42:23,2023-01-17 17:00:19.226,2023-01-18 19:31:50.145,2023-01-22 16:25:53.103,119.72502861111111
1143,Resolved,Low,Email,Other,Adolpho Messingham,2023-01-17 23:31:47,2023-01-19 23:31:47,2023-01-18 00:19:54.993,2023-01-18 01:20:43.055,,
1144,Closed,Low,Email,Pricing and licensing,Nicola Wane,2023-01-17 23:24:52,2023-01-19 23:24:52,2023-01-18 00:24:44.867,2023-01-18 18:49:55.204,2023-01-24 11:50:18.528,156.42403555555558
1145,Resolved,Medium,Email,Product setup,Nicola Wane,2023-01-17 15:52:09,2023-01-19 15:52:09,2023-01-17 16:29:17.433,2023-01-18 11:55:59.080,,
1146,Closed,Low,Email,Pricing and licensing,Adolpho Messingham,2023-01-18 02:02:20,2023-01-20 02:02:20,2023-01-18 02:41:38.030,2023-01-19 07:13:39.355,2023-01-20 03:16:40.933,49.23914805555555
1147,Closed,Low,Email,Product setup,Sheela Cutten,2023-01-18 10:59:28,2023-01-20 10:59:28,2023-01-18 17:43:11.429,2023-01-19 23:48:34.087,2023-01-21 05:10:24.451,66.1823475
1148,Closed,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-18 08:59:26,2023-01-20 08:59:26,2023-01-18 09:18:42.754,2023-01-19 04:42:49.548,2023-01-24 09:37:03.539,144.62709416666667
1149,In progress,Low,Phone,Feature request,Sheela Cutten,2023-01-18 02:50:49,2023-01-20 02:50:49,2023-01-18 02:52:09.033,,,
1150,Closed,Low,Email,Purchasing and invoicing,Kristos Westoll,2023-01-18 03:19:26,2023-01-20 03:19:26,2023-01-18 03:37:53.083,2023-01-19 20:11:34.763,2023-01-24 03:52:10.396,144.54566555555556
1151,Closed,High,Chat,Product setup,Nicola Wane,2023-01-18 06:48:43,2023-01-19 06:48:43,2023-01-18 06:50:21.601,2023-01-18 08:03:40.906,2023-01-23 04:03:47.562,117.25126722222221
1152,Closed,Medium,Phone,Pricing and licensing,Adolpho Messingham,2023-01-18 01:34:28,2023-01-20 01:34:28,2023-01-18 02:56:45.330,2023-01-18 13:22:04.671,2023-01-21 02:40:20.689,73.09796916666667
1153,Closed,Medium,Chat,Purchasing and invoicing,Michele Whyatt,2023-01-18 02:18:40,2023-01-19 02:18:40,2023-01-18 02:20:37.824,2023-01-19 00:48:35.401,2023-01-24 19:17:08.378,160.97454944444445
1154,Resolved,Low,Email,Pricing and licensing,Kristos Westoll,2023-01-18 07:25:42,2023-01-20 07:25:42,2023-01-18 08:25:00.131,2023-01-19 15:14:33.229,,
1155,Closed,Medium,Chat,Feature request,Michele Whyatt,2023-01-18 15:27:11,2023-01-19 15:27:11,2023-01-18 15:27:12.395,2023-01-19 10:11:08.722,2023-01-21 00:33:39.765,57.10799027777778
1156,Resolved,Medium,Email,Other,Heather Urry,2023-01-18 04:20:21,2023-01-20 04:20:21,2023-01-18 05:08:17.702,2023-01-18 08:09:36.698,,
1157,Resolved,Medium,Chat,Product setup,Bernard Beckley,2023-01-18 22:25:35,2023-01-19 22:25:35,2023-01-18 22:26:19.753,2023-01-19 03:42:58.960,,
1158,Closed,Medium,Chat,Product setup,Kristos Westoll,2023-01-18 18:08:37,2023-01-19 18:08:37,2023-01-18 18:09:33.175,2023-01-18 21:55:18.637,2023-01-20 21:41:51.832,51.55412
1159,Closed,Low,Chat,Product setup,Heather Urry,2023-01-19 19:54:37,2023-01-20 19:54:37,2023-01-19 19:57:47.885,2023-01-20 08:53:34.548,2023-01-25 14:55:40.103,139.01752861111112
1160,Resolved,Low,Chat,Pricing and licensing,Michele Whyatt,2023-01-19 09:56:57,2023-01-20 09:56:57,2023-01-19 09:58:31.828,2023-01-19 21:24:38.855,,
1161,In progress,Low,Email,Purchasing and invoicing,Michele Whyatt,2023-01-19 11:56:06,2023-01-21 11:56:06,2023-01-19 12:55:03.068,,,
1162,Closed,Medium,Email,Product setup,Bernard Beckley,2023-01-19 01:28:08,2023-01-21 01:28:08,2023-01-19 01:41:57.250,2023-01-20 16:50:02.509,2023-01-21 09:04:00.687,55.59796861111111
1163,Closed,Low,Email,Product setup,Kristos Westoll,2023-01-19 02:31:19,2023-01-21 02:31:19,2023-01-19 02:37:16.105,2023-01-19 23:08:29.754,2023-01-22 03:44:53.170,73.22615833333333
1164,Closed,Low,Chat,Product setup,Sheela Cutten,2023-01-19 08:14:44,2023-01-20 08:14:44,2023-01-19 10:00:36.696,2023-01-19 15:09:18.779,2023-01-20 15:57:25.455,31.711515277777778
1165,Resolved,High,Chat,Product setup,Connor Danielovitch,2023-01-19 02:00:02,2023-01-20 02:00:02,2023-01-19 02:01:24.155,2023-01-21 04:02:43.991,,
1166,Closed,Low,Email,Pricing and licensing,Bernard Beckley,2023-01-19 16:07:40,2023-01-21 16:07:40,2023-01-19 16:27:09.226,2023-01-20 08:34:33.879,2023-01-23 14:00:07.411,93.87428083333334
1167,Closed,Low,Chat,Pricing and licensing,Kristos Westoll,2023-01-19 04:01:55,2023-01-20 04:01:55,2023-01-19 04:02:30.252,2023-01-19 04:21:53.133,2023-01-21 11:09:55.484,55.133467777777774
1168,Resolved,High,Email,Other,Michele Whyatt,2023-01-19 18:33:13,2023-01-21 18:33:13,2023-01-19 18:59:45.491,2023-01-20 14:33:25.698,,
1169,Closed,Medium,Chat,Product setup,Nicola Wane,2023-01-19 17:03:57,2023-01-20 17:03:57,2023-01-19 17:05:38.874,2023-01-19 21:18:49.040,2023-01-27 05:20:49.742,180.2813172222222
1170,In progress,Medium,Chat,Product setup,Bernard Beckley,2023-01-19 02:59:41,2023-01-20 02:59:41,2023-01-19 03:01:25.458,,,
1171,In progress,High,Email,Feature request,Michele Whyatt,2023-01-20 08:12:18,2023-01-22 08:12:18,2023-01-20 11:23:09.594,,,
1172,In progress,Low,Email,Purchasing and invoicing,Kristos Westoll,2023-01-20 16:02:00,2023-01-22 16:02:00,2023-01-20 16:31:24.768,,,
1173,In progress,Low,Email,Product setup,Nicola Wane,2023-01-20 18:26:33,2023-01-22 18:26:33,2023-01-20 18:51:24.340,,,
1174,Closed,Low,Email,Product setup,Bernard Beckley,2023-01-20 16:12:23,2023-01-22 16:12:23,2023-01-20 16:41:51.920,2023-01-21 20:59:34.703,2023-01-26 19:39:01.757,147.44409916666666
1175,Closed,Medium,Email,Pricing and licensing,Sheela Cutten,2023-01-20 18:26:56,2023-01-22 18:26:56,2023-01-20 18:47:31.128,2023-01-23 09:12:24.840,2023-01-23 23:35:19.894,77.13997055555555
1176,In progress,High,Chat,Bug report,Michele Whyatt,2023-01-20 12:41:24,2023-01-21 12:41:24,2023-01-20 12:42:08.016,,,
1177,In progress,Low,Email,Pricing and licensing,Kristos Westoll,2023-01-20 07:41:43,2023-01-22 07:41:43,2023-01-20 08:16:18.202,,,
1178,Resolved,High,Email,Other,Nicola Wane,2023-01-20 09:35:25,2023-01-22 09:35:25,2023-01-20 09:49:59.568,2023-01-21 08:18:23.092,,
1179,Closed,Low,Email,Product setup,Adolpho Messingham,2023-01-20 15:19:25,2023-01-22 15:19:25,2023-01-20 15:54:48.009,2023-01-21 11:31:25.643,2023-01-23 07:11:32.336,63.86870444444445
